date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1980-12-12,28.7392,28.8736,28.7392,28.7392,2093900,0.0994,,
1980-12-15,27.3728,27.3728,27.2608,27.2608,785200,0.0943,-5.13,
1980-12-16,25.3792,25.3792,25.2448,25.2448,472000,0.0873,-7.42,
1980-12-17,25.872,26.0064,25.872,25.872,385900,0.0895,2.52,
1980-12-18,26.6336,26.7456,26.6336,26.6336,327900,0.0921,2.91,
1980-12-19,28.2464,28.3808,28.2464,28.2464,217100,0.0977,6.08,
1980-12-22,29.6352,29.7472,29.6352,29.6352,166800,0.1025,4.91,
1980-12-23,30.8672,31.0016,30.8672,30.8672,209600,0.1068,4.2,
1980-12-24,32.5024,32.6144,32.5024,32.5024,214300,0.1124,5.24,
1980-12-26,35.504,35.616,35.504,35.504,248100,0.1228,9.25,
1980-12-29,35.9968,36.1312,35.9968,35.9968,415900,0.1245,1.38,
1980-12-30,35.2576,35.2576,35.1232,35.1232,307500,0.1215,-2.41,
1980-12-31,34.2496,34.2496,34.1152,34.1152,159600,0.118,-2.88,
1981-01-02,34.496,34.7424,34.496,34.496,96700,0.1193,1.1,
1981-01-05,33.8688,33.8688,33.7568,33.7568,159500,0.1168,-2.1,
1981-01-06,32.368,32.368,32.256,32.256,201600,0.1116,-4.45,
1981-01-07,31.0016,31.0016,30.8672,30.8672,248600,0.1068,-4.3,
1981-01-08,30.3744,30.3744,30.24,30.24,177800,0.1046,-2.06,
1981-01-09,31.8752,32.0096,31.8752,31.8752,96000,0.1103,5.45,
1981-01-12,31.8752,31.8752,31.6288,31.6288,105800,0.1094,-0.82,79405760.0
1981-01-13,30.6208,30.6208,30.5088,30.5088,102900,0.1055,-3.56,57106560.0
1981-01-14,30.6208,30.7552,30.6208,30.6208,63800,0.1059,0.38,49026880.0
1981-01-15,31.248,31.4944,31.248,31.248,62800,0.1081,2.08,44443840.0
1981-01-16,31.136,31.136,31.0016,31.0016,59800,0.1073,-0.74,40791520.0
1981-01-19,32.8832,32.9952,32.8832,32.8832,185600,0.1138,6.06,39197760.0
1981-01-20,32.0096,32.0096,31.8752,31.8752,134300,0.1103,-3.08,38270400.0
1981-01-21,32.5024,32.7488,32.5024,32.5024,71000,0.1124,1.9,37197440.0
1981-01-22,32.8832,33.1296,32.8832,32.8832,158700,0.1138,1.25,36627360.0
1981-01-23,32.8832,32.9952,32.7488,32.7488,50100,0.1133,-0.44,34788320.0
1981-01-26,32.368,32.368,32.256,32.256,110000,0.1116,-1.5,33241600.0
1981-01-27,32.256,32.256,32.0096,32.0096,105800,0.1107,-0.81,29768480.0
1981-01-28,31.136,31.136,31.0016,31.0016,125700,0.1073,-3.07,27732320.0
1981-01-29,29.9936,29.9936,29.8816,29.8816,196000,0.1034,-3.63,28140000.0
1981-01-30,28.4928,28.4928,28.2464,28.2464,206200,0.0977,-5.51,29366400.0
1981-02-02,26.7456,26.7456,26.6336,26.6336,106100,0.0921,-5.73,28768320.0
1981-02-03,27.6192,27.7536,27.6192,27.6192,85500,0.0956,3.8,27468000.0
1981-02-04,28.6272,28.7392,28.6272,28.6272,124400,0.099,3.56,26076960.0
1981-02-05,28.6272,28.8736,28.6272,28.6272,35400,0.099,0.0,24482080.0
1981-02-06,28.7392,28.8736,28.7392,28.7392,61900,0.0994,0.4,24100160.0
1981-02-09,27.5072,27.5072,27.2608,27.2608,74800,0.0943,-5.13,23752960.0
1981-02-10,27.2608,27.3728,27.2608,27.2608,81900,0.0943,0.0,23517760.0
1981-02-11,26.4992,26.4992,26.3648,26.3648,61800,0.0912,-3.29,23495360.0
1981-02-12,26.2528,26.2528,26.1184,26.1184,65000,0.0904,-0.88,23520000.0
1981-02-13,25.76,25.76,25.4912,25.4912,49800,0.0882,-2.43,23408000.0
1981-02-17,26.1184,26.2528,26.1184,26.1184,54800,0.0904,2.49,21943040.0
1981-02-18,27.2608,27.5072,27.2608,27.2608,85900,0.0943,4.31,21400960.0
1981-02-19,25.76,25.76,25.6256,25.6256,99600,0.0887,-5.94,21721280.0
1981-02-20,24.3712,24.3712,24.2592,24.2592,108800,0.0839,-5.41,21162400.0
1981-02-23,24.6176,24.752,24.6176,24.6176,63000,0.0852,1.55,21306880.0
1981-02-24,23.9904,23.9904,23.744,23.744,75800,0.0821,-3.64,20923840.0
